scale,name,ai,pi
Country,Solomon Islands,371657.932,11182.7951
Country,Papua New Guinea,1057617.837,38406.2933
Country,Philippines,1433559.071,78525.3558
Country,Timor Leste,20769.72,1222.1784
Country,Indonesia,2717167.867,638982.9373
Country,Malaysia,207300.6317,67332.1127
Ecoregion,Arafura Sea,93895.7489,0
Ecoregion,Halmahera,82679.6982,0
Ecoregion,Southeast Papua New Guinea,112525.2207,0
Ecoregion,Vanuatu,43353.5047,0
Ecoregion,South China Sea Oceanic Islands,336510.7501,3.54
Ecoregion,Solomon Sea,561740.2608,2000.2417
Ecoregion,Bismarck Sea,263617.2049,6121.725
Ecoregion,Solomon Archipelago,405877.78,14450.9939
Ecoregion,Western Sumatra,312319.6194,27320.7327
Ecoregion,Eastern Philippines,663243.1914,60165.5721
Ecoregion,Sulawesi Sea/Makassar Strait,472418.8259,67252.7667
Ecoregion,Sunda Shelf/Java Sea,389700.7028,58789.7204
Ecoregion,Palawan/North Borneo,1011908.821,191941.3409
Ecoregion,Southern Java,59189.5531,12767.5338
Ecoregion,Malacca Strait,29907.4224,8506.0738
Ecoregion,Banda Sea,733919.7823,223541.1395
Ecoregion,Lesser Sunda,238079.2527,91405.5392
Ecoregion,Northeast Sulawesi,54744.2368,21734.7496
Ecoregion,Papua,167844.6615,104219.1904
Ecoregion,South Kuroshio,10224.5637,6773.6427
Ecoregion,Gulf of Papua,33202.9445,27085.3053
