country,ecoregion,pi,ai
Argentina,Alto Paraná Atlantic forests,1692.198067,22602.64593
Argentina,Araucaria moist forests,404.2210442,4577.689213
Argentina,Central Andean dry puna,3.62355068,29760.15274
Argentina,Central Andean puna,4520.593274,87451.76027
Argentina,Dry Chaco,2497.168214,490980.6387
Argentina,Espinal,81.24619227,299214.51
Argentina,High Monte,4170.392479,116983.3084
Argentina,Humid Chaco,1172.701654,162684.5663
Argentina,Humid Pampas,239.8178243,398919.9194
Argentina,Low Monte,1129.417549,354111.0191
Argentina,Magellanic subpolar forests,4297.731209,28310.15116
Argentina,Paraná flooded savanna,215.9013784,36840.10408
Argentina,Patagonian steppe,8209.363015,535415.8559
Argentina,Southern Andean steppe,16605.71405,95292.67143
Argentina,Southern Andean Yungas,2840.950557,47644.39262
Argentina,Southern Cone Mesopotamian savanna,1.041439674,26860.29967
Argentina,Uruguayan savanna,0.003147723,228.0554146
Argentina,Valdivian temperate forests,10158.18011,44615.95438
Australia,Antipodes Subantarctic Islands tundra,0,74.72068565
Australia,Arnhem Land tropical savanna,27654.64615,157890.6158
Australia,Australian Alps montane grasslands,7647.382111,12022.65102
Australia,Brigalow tropical savanna,8404.359624,342921.8872
Australia,Cape York Peninsula tropical savanna,18936.80066,116301.6183
Australia,Carnarvon xeric shrublands,6264.291107,90531.03019
Australia,Carpentaria tropical savanna,16106.87847,360077.0185
Australia,Central Ranges xeric scrub,3978.357716,282290.7732
Australia,Coolgardie woodlands,13680.88984,137680.1769
Australia,Eastern Australia mulga shrublands,7337.563343,254478.3199
Australia,Eastern Australian temperate forests,40195.07672,221705.84
Australia,Einasleigh upland savanna,3866.466432,128756.3481
Australia,Esperance mallee,23587.48372,115733.2592
Australia,Eyre and York mallee,4085.807935,60960.44166
Australia,Gibson desert,18537.58685,156213.9681
Australia,Great Sandy-Tanami desert,20366.3732,824816.6638
Australia,Great Victoria desert,67657.85957,425296.1181
Australia,Jarrah-Karri forest and shrublands,4709.778442,10359.68195
Australia,Kimberly tropical savanna,28814.99601,347593.5787
Australia,Lord Howe Island subtropical forests,7.200531233,10.47990527
Australia,Mitchell grass downs,8362.287105,461758.2184
Australia,Mount Lofty woodlands,900.2952147,23789.39203
Australia,Murray-Darling woodlands and mallee,31335.01321,198366.805
Australia,Naracoorte woodlands,1731.244031,27373.7747
Australia,Nullarbor Plains xeric shrublands,26835.70532,195632.7855
Australia,Pilbara shrublands,11603.06381,180012.9623
Australia,Queensland tropical rain forests,10972.85534,32608.28549
Australia,Simpson desert,27494.08726,585791.9225
Australia,Southeast Australia temperate forests,30262.987,272537.3719
Australia,Southeast Australia temperate savanna,11919.29979,322944.797
Australia,Southwest Australia savanna,8549.224441,169173.7967
Australia,Southwest Australia woodlands,5800.68574,46142.9706
Australia,Swan Coastal Plain Scrub and Woodlands,1784.585455,15005.22897
Australia,Tasmanian Central Highland forests,2525.641088,18705.67879
Australia,Tasmanian temperate forests,1830.07226,18104.83163
Australia,Tasmanian temperate rain forests,1974.981256,31141.22307
Australia,Tirari-Sturt stony desert,4269.357262,377723.5624
